SQL_SignatoryStateId,API_SignatoryStateId,SQL_CountryName,API_CountryName,SQL_ShortName,API_ShortName,SQL_TradingCertTypeId,API_TradingCertTypeId,Test Case Status
536,536,ALBANIA,ALBANIA,ALB,ALB,5,5,Test Case Passed
1,1,ALGERIA,ALGERIA,DZA,DZA,2,2,Test Case Passed
2,2,ALGERIA,ALGERIA,DZA,DZA,3,3,Test Case Passed
3,3,ALGERIA,ALGERIA,DZA,DZA,4,4,Test Case Passed
397,397,AMERICAN SAMOA,AMERICAN SAMOA,ASM,ASM,1,1,Test Case Passed
396,396,AMERICAN SAMOA,AMERICAN SAMOA,ASM,ASM,2,2,Test Case Passed
398,398,AMERICAN SAMOA,AMERICAN SAMOA,ASM,ASM,3,3,Test Case Passed
399,399,AMERICAN SAMOA,AMERICAN SAMOA,ASM,ASM,4,4,Test Case Passed
5,5,ANTIGUA & BARBUDA,ANTIGUA & BARBUDA,ATG,ATG,1,1,Test Case Passed
4,4,ANTIGUA & BARBUDA,ANTIGUA & BARBUDA,ATG,ATG,2,2,Test Case Passed
7,7,ANTIGUA & BARBUDA,ANTIGUA & BARBUDA,ATG,ATG,3,3,Test Case Passed
8,8,ANTIGUA & BARBUDA,ANTIGUA & BARBUDA,ATG,ATG,4,4,Test Case Passed
6,6,ANTIGUA & BARBUDA,ANTIGUA & BARBUDA,ATG,ATG,5,5,Test Case Passed
545,545,ANTIGUA & BARBUDA,ANTIGUA & BARBUDA,ATG,ATG,25,25,Test Case Passed
620,620,ANTIGUA & BARBUDA,ANTIGUA & BARBUDA,ATG,ATG,26,26,Test Case Passed
13,13,ARGENTINA,ARGENTINA,ARG,ARG,2,2,Test Case Passed
14,14,ARGENTINA,ARGENTINA,ARG,ARG,3,3,Test Case Passed
15,15,ARGENTINA,ARGENTINA,ARG,ARG,4,4,Test Case Passed
546,546,ARGENTINA,ARGENTINA,ARG,ARG,25,25,Test Case Passed
621,621,ARGENTINA,ARGENTINA,ARG,ARG,26,26,Test Case Passed
17,17,AUSTRALIA,AUSTRALIA,AUS,AUS,1,1,Test Case Passed
16,16,AUSTRALIA,AUSTRALIA,AUS,AUS,2,2,Test Case Passed
18,18,AUSTRALIA,AUSTRALIA,AUS,AUS,3,3,Test Case Passed
19,19,AUSTRALIA,AUSTRALIA,AUS,AUS,4,4,Test Case Passed
547,547,AUSTRALIA,AUSTRALIA,AUS,AUS,25,25,Test Case Passed
622,622,AUSTRALIA,AUSTRALIA,AUS,AUS,26,26,Test Case Passed
541,541,AZERBAIJAN  REPUBLIC OF,AZERBAIJAN  REPUBLIC OF,AZE,AZE,1,1,Test Case Passed
22,22,AZERBAIJAN  REPUBLIC OF,AZERBAIJAN  REPUBLIC OF,AZE,AZE,2,2,Test Case Passed
23,23,AZERBAIJAN  REPUBLIC OF,AZERBAIJAN  REPUBLIC OF,AZE,AZE,3,3,Test Case Passed
24,24,AZERBAIJAN  REPUBLIC OF,AZERBAIJAN  REPUBLIC OF,AZE,AZE,4,4,Test Case Passed
26,26,BAHAMAS,BAHAMAS,BHS,BHS,1,1,Test Case Passed
25,25,BAHAMAS,BAHAMAS,BHS,BHS,2,2,Test Case Passed
28,28,BAHAMAS,BAHAMAS,BHS,BHS,3,3,Test Case Passed
29,29,BAHAMAS,BAHAMAS,BHS,BHS,4,4,Test Case Passed
27,27,BAHAMAS,BAHAMAS,BHS,BHS,5,5,Test Case Passed
548,548,BAHAMAS,BAHAMAS,BHS,BHS,25,25,Test Case Passed
623,623,BAHAMAS,BAHAMAS,BHS,BHS,26,26,Test Case Passed
