SQL_SignatoryStateId,API_SignatoryStateId,SQL_Id,API_Id,SQL_AddressName,API_AddressName,SQL_AddressLine1,API_AddressLine1,SQL_AddressLine2,API_AddressLine2,SQL_AddressLine3,API_AddressLine3,SQL_StateOrCounty,API_StateOrCounty,SQL_City,API_City,SQL_Country,API_Country,SQL_PostCode,API_PostCode,SQL_isThePrimaryAddress,API_isThePrimaryAddress,Test Case Status
739,739,832,832,SIERRA LEONE MARITIME ADMINISTRATION,SIERRA LEONE MARITIME ADMINISTRATION,MARITIME HOUSE #6,MARITIME HOUSE #6,GOVERNMENT WHARF FERRY TERMINAL,GOVERNMENT WHARF FERRY TERMINAL,,,,,FREETOWN,FREETOWN,SIERRA LEONE,SIERRA LEONE,,,False,false,Test Case Passed
738,738,830,830,Ministry of Transport of Saudi Arabia,Ministry of Transport of Saudi Arabia,Manager of the Maritime Transport,Manager of the Maritime Transport,Old Airport Street ,Old Airport Street ,,,,,Riyadh,Riyadh,SAUDI ARABIA,SAUDI ARABIA,,,False,false,Test Case Passed
735,735,814,814,International Ship Registry of Gabon ,International Ship Registry of Gabon ,Commissioner of Maritime Affairs,Commissioner of Maritime Affairs,Intershipping Services LLC ,Intershipping Services LLC ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,,,Ajman,Ajman,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,,,False,false,Test Case Passed
734,734,815,815,International Ship Registry of Gabon ,International Ship Registry of Gabon ,Commissioner of Maritime Affairs,Commissioner of Maritime Affairs,Intershipping Services LLC ,Intershipping Services LLC ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,,,Ajman,Ajman,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,,,False,false,Test Case Passed
733,733,816,816,International Ship Registry of Gabon ,International Ship Registry of Gabon ,Commissioner of Maritime Affairs,Commissioner of Maritime Affairs,Intershipping Services LLC ,Intershipping Services LLC ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,,,Ajman,Ajman,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,,,False,false,Test Case Passed
732,732,807,807,Ministry of Transport of Saudi Arabia ,Ministry of Transport of Saudi Arabia ,Manager of the Maritime Transport,Manager of the Maritime Transport,Old Airport Street ,Old Airport Street ,,,,,Riyadh,Riyadh,SAUDI ARABIA,SAUDI ARABIA,,,False,false,Test Case Passed
730,730,805,805,Transport Canada ,Transport Canada ,Attn: Marine Insurance Unit Marine Safety & Security ,Attn: Marine Insurance Unit Marine Safety & Security ,AMSE 10th Floor,AMSE 10th Floor,330 Sparks Street,330 Sparks Street,Ontario,Ontario,Ottawa,Ottawa,CANADA,CANADA,K1A 0N8,K1A 0N8,False,false,Test Case Passed
729,729,806,806,International Shipping Register of Madeira - MAR,International Shipping Register of Madeira - MAR,Av. Zarco  Edifício do Governo Regional ,Av. Zarco  Edifício do Governo Regional ,1.º  9004-527 Funchal,1.º  9004-527 Funchal,P.O. Box 494 ,P.O. Box 494 ,,,Madeira,Madeira,PORTUGAL,PORTUGAL,,,False,false,Test Case Passed
728,728,790,790,Marine Department,Marine Department,1278 Yotha Road,1278 Yotha Road,Taladnoi  Samphanthawong,Taladnoi  Samphanthawong,,,,,Bangkok 10100,Bangkok 10100,THAILAND,THAILAND,,,False,false,Test Case Passed
726,726,789,789,Directorate of Ship Registration and Seamen Affairs,Directorate of Ship Registration and Seamen Affairs,Building 702  Road 1510,Building 702  Road 1510,,,,,,,Block 115  P.O. Box 75315,Block 115  P.O. Box 75315,BAHRAIN  STATE OF,BAHRAIN  STATE OF,,,False,false,Test Case Passed
725,725,786,786,Directorate of Ship Registration and Seamen Affairs,Directorate of Ship Registration and Seamen Affairs,Building 702  Road 1510,Building 702  Road 1510,,,,,,,Block 115  P.O. Box 75315,Block 115  P.O. Box 75315,BAHRAIN  STATE OF,BAHRAIN  STATE OF,,,False,false,Test Case Passed
724,724,785,785,Registrar of Ships  Merchant Shipping Division,Registrar of Ships  Merchant Shipping Division,Ministry of Highways  Ports & Shipping,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building ,1st Floor  Bristol Building ,43-89  York Street ,43-89  York Street ,,,Colombo 01.,Colombo 01.,SRI LANKA,SRI LANKA,,,False,false,Test Case Passed
723,723,783,783,Union Des Comores,Union Des Comores,National Agency of Maritime Affairs,National Agency of Maritime Affairs,Building of the Ministry of Transport,Building of the Ministry of Transport,,,,,BP 97 Moroni,BP 97 Moroni,COMOROS,COMOROS,,,False,false,Test Case Passed
722,722,781,781,International Merchant Marine Registry of Belize,International Merchant Marine Registry of Belize, International Merchant Marine Registry of Belize, International Merchant Marine Registry of Belize,304 Newtown Barracks ,304 Newtown Barracks ,,,,,Belize City,Belize City,BELIZE,BELIZE,,,False,false,Test Case Passed
721,721,780,780,Direction Des Affaires Maritimes Et Portuaires,Direction Des Affaires Maritimes Et Portuaires,Cocody Deux Plateaux ,Cocody Deux Plateaux ,Cite Les Perles "Aghien",Cite Les Perles "Aghien",,,,,Abidjan  Cote d' Ivoire,Abidjan  Cote d' Ivoire,IVORY COAST,IVORY COAST,,,False,false,Test Case Passed
720,720,782,782,Direçao-Geral de Recursos Naturiais,Direçao-Geral de Recursos Naturiais,Segurança e Serviços Marítimos,Segurança e Serviços Marítimos,Avenida Brasília,Avenida Brasília,,,,,1449-030 Lisboa,1449-030 Lisboa,PORTUGAL,PORTUGAL,,,False,false,Test Case Passed
719,719,776,776,Union Des Comores,Union Des Comores,National Agency of Maritime Affairs,National Agency of Maritime Affairs,Building of The Ministry of Transport,Building of The Ministry of Transport,,,,,BP 97 Moroni,BP 97 Moroni,COMOROS,COMOROS,,,False,false,Test Case Passed
718,718,777,777,Union Des Comores,Union Des Comores,National Agency of Maritime Affairs,National Agency of Maritime Affairs,Building of The Ministry of Transport,Building of The Ministry of Transport,,,,,BP 97 Moroni,BP 97 Moroni,COMOROS,COMOROS,,,False,false,Test Case Passed
717,717,775,775,Swedish Transport Agency,Swedish Transport Agency,Civil Aviation and Maritime Department,Civil Aviation and Maritime Department,,,,,,,SE-601 73 NorrkÖping,SE-601 73 NorrkÖping,SWEDEN,SWEDEN,,,False,false,Test Case Passed
716,716,774,774,Jordan Maritime Commission ,Jordan Maritime Commission ,P.O. Box: 171 Aqaba 77110,P.O. Box: 171 Aqaba 77110,,,,,,,Aqaba,Aqaba,JORDAN,JORDAN,,,False,false,Test Case Passed
713,713,773,773,Registrar of Ships ,Registrar of Ships ,Merchant Shipping Division,Merchant Shipping Division,Ministry of Highways  Ports & Shipping,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building  43-89 York Street,1st Floor  Bristol Building  43-89 York Street,,,Colombo 01,Colombo 01,SRI LANKA,SRI LANKA,,,False,false,Test Case Passed
712,712,772,772,Registrar of Ships ,Registrar of Ships ,Merchant Shipping Division ,Merchant Shipping Division ,Ministry of Highways  Ports & Shipping,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building  43-89  York Street,1st Floor  Bristol Building  43-89  York Street,,,Colombo 01,Colombo 01,SRI LANKA,SRI LANKA,,,False,false,Test Case Passed
711,711,764,764,Ministry of Maritime Affairs  ,Ministry of Maritime Affairs  ,Transport and Infrastructure Safety of Navigation  ,Transport and Infrastructure Safety of Navigation  ,Maritime Environment and Inland Waters Protection Directorate,Maritime Environment and Inland Waters Protection Directorate,10 000 Zagreb  ,10 000 Zagreb  ,,,Prisavlje 14,Prisavlje 14,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,,,False,false,Test Case Passed
710,710,760,760,Shipping Division  Maritime and Port Authority of Singapore ,Shipping Division  Maritime and Port Authority of Singapore ,460 Alexandra Road ,460 Alexandra Road ,#21-00  PSA Building,#21-00  PSA Building,,,,,Singapore,Singapore,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,119963,119963,False,false,Test Case Passed
709,709,742,742,Marine Department of Thailand,Marine Department of Thailand,1278  Yotha Rd.  Talat Noi  ,1278  Yotha Rd.  Talat Noi  ,Samphanthawong,Samphanthawong,,,,,Bangkok,Bangkok,THAILAND,THAILAND,10100,10100,False,false,Test Case Passed
708,708,741,741,Marine Department of Thailand,Marine Department of Thailand,1278  Yotha Rd.  Talat Noi  ,1278  Yotha Rd.  Talat Noi  ,Samphanthawong ,Samphanthawong ,,,,,Bangkok,Bangkok,THAILAND,THAILAND,10100,10100,False,false,Test Case Passed
707,707,739,739,Federal Public Service Mobility and Transport,Federal Public Service Mobility and Transport,Directorate General Shipping,Directorate General Shipping,City Atrium ,City Atrium ,Vooruitgangstraat 56 / Rue du Progres 56,Vooruitgangstraat 56 / Rue du Progres 56,,,B-1210 Brussels,B-1210 Brussels,BELGIUM,BELGIUM,,,False,false,Test Case Passed
706,706,738,738,Finnish Transport Safety Agency Trafi,Finnish Transport Safety Agency Trafi,Marine Environment and Security,Marine Environment and Security,PO Box 320,PO Box 320,,,,,FI-00101 Helsinki,FI-00101 Helsinki,FINLAND,FINLAND,,,False,false,Test Case Passed
705,705,737,737,HM Government of Gibraltar,HM Government of Gibraltar,Gibraltar Maritime Administration,Gibraltar Maritime Administration,2/8 Watergate House ,2/8 Watergate House ,,,,,Casemates Square,Casemates Square,GIBRALTAR,GIBRALTAR,GX11 1AA,GX11 1AA,False,false,Test Case Passed
704,704,729,729,The Maritime Authority of the Cayman Islands,The Maritime Authority of the Cayman Islands,3rd Floor  Government Administration Building,3rd Floor  Government Administration Building,133 Elgin Avenue  PO Box 2256,133 Elgin Avenue  PO Box 2256,,,,,Grand Cayman,Grand Cayman,CAYMAN ISLANDS,CAYMAN ISLANDS,KY1-1107,KY1-1107,False,false,Test Case Passed
703,703,726,726,Direcao-Geral de Recursos Naturiais,Direcao-Geral de Recursos Naturiais,Seguranca e Servicos Marítimos,Seguranca e Servicos Marítimos,Avenida Brasília,Avenida Brasília,,,,,1449-030 Lisboa,1449-030 Lisboa,PORTUGAL,PORTUGAL,,,False,false,Test Case Passed
702,702,725,725,Direcao-Geral de Recursos Naturiais,Direcao-Geral de Recursos Naturiais,Seguranca e Servicos Maritimos,Seguranca e Servicos Maritimos,Avenida Brasilla,Avenida Brasilla,,,,,1499-030 Lisboa,1499-030 Lisboa,PORTUGAL,PORTUGAL,,,False,false,Test Case Passed
701,701,722,722,Services du Register International,Services du Register International,Francais RIF,Francais RIF,21 rue de la republique,21 rue de la republique,13002,13002,,,MARSEILLE,MARSEILLE,FRANCE,FRANCE,,,False,false,Test Case Passed
