API_SignatoryStateId,API_CountryName,API_ShortName,API_TradingCertTypeId
536,ALBANIA,ALB,5
1,ALGERIA,DZA,2
2,ALGERIA,DZA,3
3,ALGERIA,DZA,4
397,AMERICAN SAMOA,ASM,1
396,AMERICAN SAMOA,ASM,2
398,AMERICAN SAMOA,ASM,3
399,AMERICAN SAMOA,ASM,4
5,ANTIGUA & BARBUDA,ATG,1
4,ANTIGUA & BARBUDA,ATG,2
7,ANTIGUA & BARBUDA,ATG,3
8,ANTIGUA & BARBUDA,ATG,4
6,ANTIGUA & BARBUDA,ATG,5
545,ANTIGUA & BARBUDA,ATG,25
620,ANTIGUA & BARBUDA,ATG,26
13,ARGENTINA,ARG,2
14,ARGENTINA,ARG,3
15,ARGENTINA,ARG,4
546,ARGENTINA,ARG,25
621,ARGENTINA,ARG,26
17,AUSTRALIA,AUS,1
16,AUSTRALIA,AUS,2
18,AUSTRALIA,AUS,3
19,AUSTRALIA,AUS,4
547,AUSTRALIA,AUS,25
622,AUSTRALIA,AUS,26
541,AZERBAIJAN  REPUBLIC OF,AZE,1
22,AZERBAIJAN  REPUBLIC OF,AZE,2
23,AZERBAIJAN  REPUBLIC OF,AZE,3
24,AZERBAIJAN  REPUBLIC OF,AZE,4
26,BAHAMAS,BHS,1
25,BAHAMAS,BHS,2
28,BAHAMAS,BHS,3
29,BAHAMAS,BHS,4
27,BAHAMAS,BHS,5
548,BAHAMAS,BHS,25
623,BAHAMAS,BHS,26
725,BAHRAIN  STATE OF,BHR,1
726,BAHRAIN  STATE OF,BHR,2
549,BANGLADESH,BGD,25
624,BANGLADESH,BGD,26
39,BARBADOS,BRB,1
38,BARBADOS,BRB,2
40,BARBADOS,BRB,3
41,BARBADOS,BRB,4
550,BARBADOS,BRB,25
625,BARBADOS,BRB,26
47,BELGIUM,BEL,1
46,BELGIUM,BEL,2
48,BELGIUM,BEL,3
49,BELGIUM,BEL,4
707,BELGIUM,BEL,5
551,BELGIUM,BEL,25
626,BELGIUM,BEL,26
43,BELIZE,BLZ,1
42,BELIZE,BLZ,2
44,BELIZE,BLZ,3
45,BELIZE,BLZ,4
722,BELIZE,BLZ,5
552,BELIZE,BLZ,25
627,BELIZE,BLZ,26
553,BENIN  REPUBLIC OF,BEN,25
628,BENIN  REPUBLIC OF,BEN,26
51,BERMUDA,BMU,1
50,BERMUDA,BMU,2
52,BERMUDA,BMU,3
53,BERMUDA,BMU,4
614,BERMUDA,BMU,25
689,BERMUDA,BMU,26
554,BOSNIA HERCEGOVINA,BIH,25
629,BOSNIA HERCEGOVINA,BIH,26
54,BRAZIL,BRA,2
55,BRAZIL,BRA,3
56,BRAZIL,BRA,4
63,BRITISH VIRGIN ISLANDS,VGB,1
62,BRITISH VIRGIN ISLANDS,VGB,2
64,BRITISH VIRGIN ISLANDS,VGB,3
65,BRITISH VIRGIN ISLANDS,VGB,4
58,BULGARIA,BGR,1
57,BULGARIA,BGR,2
60,BULGARIA,BGR,3
61,BULGARIA,BGR,4
59,BULGARIA,BGR,5
555,BULGARIA,BGR,25
630,BULGARIA,BGR,26
66,CAMBODIA,KHM,2
67,CAMBODIA,KHM,3
68,CAMBODIA,KHM,4
69,CAMEROON,CMR,2
70,CAMEROON,CMR,3
71,CAMEROON,CMR,4
73,CANADA,CAN,1
72,CANADA,CAN,2
74,CANADA,CAN,3
75,CANADA,CAN,4
730,CANADA,CAN,5
557,CANADA,CAN,25
632,CANADA,CAN,26
556,CAPE VERDE  REPUBLIC OF,CPV,25
631,CAPE VERDE  REPUBLIC OF,CPV,26
77,CAYMAN ISLANDS,CYM,1
76,CAYMAN ISLANDS,CYM,2
78,CAYMAN ISLANDS,CYM,3
79,CAYMAN ISLANDS,CYM,4
704,CAYMAN ISLANDS,CYM,5
615,CAYMAN ISLANDS,CYM,25
690,CAYMAN ISLANDS,CYM,26
81,CHILE,CHL,2
82,CHILE,CHL,3
83,CHILE,CHL,4
502,CHINA  PEOPLES REPUBLIC OF,CHN,1
501,CHINA  PEOPLES REPUBLIC OF,CHN,2
504,CHINA  PEOPLES REPUBLIC OF,CHN,3
505,CHINA  PEOPLES REPUBLIC OF,CHN,4
699,CHINA  PEOPLES REPUBLIC OF,CHN,5
695,CHINA  PEOPLES REPUBLIC OF,CHN,25
696,CHINA  PEOPLES REPUBLIC OF,CHN,26
89,COLOMBIA,COL,3
90,COLOMBIA,COL,4
719,COMOROS,COM,1
723,COMOROS,COM,2
718,COMOROS,COM,5
558,CONGO  REPUBLIC OF THE,COG,25
633,CONGO  REPUBLIC OF THE,COG,26
84,COOK ISLANDS,COK,1
85,COOK ISLANDS,COK,2
87,COOK ISLANDS,COK,3
88,COOK ISLANDS,COK,4
86,COOK ISLANDS,COK,5
92,CROATIA  REPUBLIC OF,HRV,1
91,CROATIA  REPUBLIC OF,HRV,2
93,CROATIA  REPUBLIC OF,HRV,3
94,CROATIA  REPUBLIC OF,HRV,4
711,CROATIA  REPUBLIC OF,HRV,5
559,CROATIA  REPUBLIC OF,HRV,25
634,CROATIA  REPUBLIC OF,HRV,26
592,CURACAO,CUW,25
667,CURACAO,CUW,26
96,CYPRUS,CYP,1
95,CYPRUS,CYP,2
98,CYPRUS,CYP,3
99,CYPRUS,CYP,4
97,CYPRUS,CYP,5
560,CYPRUS,CYP,25
635,CYPRUS,CYP,26
101,DENMARK,DNK,1
100,DENMARK,DNK,2
103,DENMARK,DNK,3
104,DENMARK,DNK,4
102,DENMARK,DNK,5
561,DENMARK,DNK,25
636,DENMARK,DNK,26
540,DOMINICA,DMA,2
105,DOMINICA,DMA,3
106,DOMINICA,DMA,4
107,ECUADOR,ECU,2
108,ECUADOR,ECU,3
109,ECUADOR,ECU,4
111,EGYPT  ARAB REPUBLIC OF,EGY,1
110,EGYPT  ARAB REPUBLIC OF,EGY,2
112,EGYPT  ARAB REPUBLIC OF,EGY,3
113,EGYPT  ARAB REPUBLIC OF,EGY,4
115,ESTONIA  REPUBLIC OF,EST,1
114,ESTONIA  REPUBLIC OF,EST,2
116,ESTONIA  REPUBLIC OF,EST,3
117,ESTONIA  REPUBLIC OF,EST,4
562,FAROE ISLANDS,FRO,25
637,FAROE ISLANDS,FRO,26
563,FIJI,FJI,25
638,FIJI,FJI,26
119,FINLAND,FIN,1
118,FINLAND,FIN,2
120,FINLAND,FIN,3
121,FINLAND,FIN,4
706,FINLAND,FIN,5
564,FINLAND,FIN,25
639,FINLAND,FIN,26
123,FRANCE,FRA,1
122,FRANCE,FRA,2
124,FRANCE,FRA,3
125,FRANCE,FRA,4
542,FRANCE,FRA,5
565,FRANCE,FRA,25
640,FRANCE,FRA,26
701,FRANCE (RIF),RIF,1
168,FRANCE (RIF),RIF,2
169,FRANCE (RIF),RIF,3
170,FRANCE (RIF),RIF,4
733,GABON,GAB,1
734,GABON,GAB,2
735,GABON,GAB,5
566,GABON,GAB,25
641,GABON,GAB,26
202,GERMANY,DEU,1
201,GERMANY,DEU,2
204,GERMANY,DEU,3
205,GERMANY,DEU,4
203,GERMANY,DEU,5
568,GERMANY,DEU,25
643,GERMANY,DEU,26
567,GHANA,GHA,25
642,GHANA,GHA,26
207,GIBRALTAR,GIB,1
206,GIBRALTAR,GIB,2
208,GIBRALTAR,GIB,3
209,GIBRALTAR,GIB,4
705,GIBRALTAR,GIB,5
616,GIBRALTAR,GIB,25
691,GIBRALTAR,GIB,26
211,GREECE,GRC,1
210,GREECE,GRC,2
212,GREECE,GRC,3
213,GREECE,GRC,4
569,GREECE,GRC,25
644,GREECE,GRC,26
215,HONG KONG,HKG,1
214,HONG KONG,HKG,2
216,HONG KONG,HKG,3
217,HONG KONG,HKG,4
219,HUNGARY,HUN,1
218,HUNGARY,HUN,2
220,HUNGARY,HUN,3
221,HUNGARY,HUN,4
570,HUNGARY,HUN,25
645,HUNGARY,HUN,26
222,INDIA,IND,2
224,INDIA,IND,3
225,INDIA,IND,4
223,INDIA,IND,5
571,INDIA,IND,25
646,INDIA,IND,26
251,INDONESIA,IDN,1
250,INDONESIA,IDN,2
252,INDONESIA,IDN,3
253,INDONESIA,IDN,4
697,INDONESIA,IDN,25
698,INDONESIA,IDN,26
572,IRAN,IRN,25
647,IRAN,IRN,26
255,IRELAND REPUBLIC OF,IRL,1
254,IRELAND REPUBLIC OF,IRL,2
