API_SignatoryStateId,API_Id,API_AddressName,API_AddressLine1,API_AddressLine2,API_AddressLine3,API_StateOrCounty,API_City,API_Country,API_PostCode,API_PrimaryAddress,API_isThePrimaryAddress
739,832,SIERRA LEONE MARITIME ADMINISTRATION,MARITIME HOUSE #6,GOVERNMENT WHARF FERRY TERMINAL,,,FREETOWN,SIERRA LEONE,,false
738,830,Ministry of Transport of Saudi Arabia,Manager of the Maritime Transport,Old Airport Street ,,,Riyadh,SAUDI ARABIA,,false
735,814,International Ship Registry of Gabon ,Commissioner of Maritime Affairs,Intershipping Services LLC ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,,Ajman,UNITED ARAB EMIRATES,,false
734,815,International Ship Registry of Gabon ,Commissioner of Maritime Affairs,Intershipping Services LLC ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,,Ajman,UNITED ARAB EMIRATES,,false
733,816,International Ship Registry of Gabon ,Commissioner of Maritime Affairs,Intershipping Services LLC ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,,Ajman,UNITED ARAB EMIRATES,,false
732,807,Ministry of Transport of Saudi Arabia ,Manager of the Maritime Transport,Old Airport Street ,,,Riyadh,SAUDI ARABIA,,false
730,805,Transport Canada ,Attn: Marine Insurance Unit Marine Safety & Security ,AMSE 10th Floor,330 Sparks Street,Ontario,Ottawa,CANADA,K1A 0N8,false
729,806,International Shipping Register of Madeira - MAR,Av. Zarco  Edifício do Governo Regional ,1.º  9004-527 Funchal,P.O. Box 494 ,,Madeira,PORTUGAL,,false
728,790,Marine Department,1278 Yotha Road,Taladnoi  Samphanthawong,,,Bangkok 10100,THAILAND,,false
726,789,Directorate of Ship Registration and Seamen Affairs,Building 702  Road 1510,,,,Block 115  P.O. Box 75315,BAHRAIN  STATE OF,,false
725,786,Directorate of Ship Registration and Seamen Affairs,Building 702  Road 1510,,,,Block 115  P.O. Box 75315,BAHRAIN  STATE OF,,false
724,785,Registrar of Ships  Merchant Shipping Division,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building ,43-89  York Street ,,Colombo 01.,SRI LANKA,,false
723,783,Union Des Comores,National Agency of Maritime Affairs,Building of the Ministry of Transport,,,BP 97 Moroni,COMOROS,,false
722,781,International Merchant Marine Registry of Belize, International Merchant Marine Registry of Belize,304 Newtown Barracks ,,,Belize City,BELIZE,,false
721,780,Direction Des Affaires Maritimes Et Portuaires,Cocody Deux Plateaux ,Cite Les Perles "Aghien",,,Abidjan  Cote d' Ivoire,IVORY COAST,,false
720,782,Direçao-Geral de Recursos Naturiais,Segurança e Serviços Marítimos,Avenida Brasília,,,1449-030 Lisboa,PORTUGAL,,false
719,776,Union Des Comores,National Agency of Maritime Affairs,Building of The Ministry of Transport,,,BP 97 Moroni,COMOROS,,false
718,777,Union Des Comores,National Agency of Maritime Affairs,Building of The Ministry of Transport,,,BP 97 Moroni,COMOROS,,false
717,775,Swedish Transport Agency,Civil Aviation and Maritime Department,,,,SE-601 73 NorrkÖping,SWEDEN,,false
716,774,Jordan Maritime Commission ,P.O. Box: 171 Aqaba 77110,,,,Aqaba,JORDAN,,false
713,773,Registrar of Ships ,Merchant Shipping Division,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building  43-89 York Street,,Colombo 01,SRI LANKA,,false
712,772,Registrar of Ships ,Merchant Shipping Division ,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building  43-89  York Street,,Colombo 01,SRI LANKA,,false
711,764,Ministry of Maritime Affairs  ,Transport and Infrastructure Safety of Navigation  ,Maritime Environment and Inland Waters Protection Directorate,10 000 Zagreb  ,,Prisavlje 14,CROATIA  REPUBLIC OF,,false
710,760,Shipping Division  Maritime and Port Authority of Singapore ,460 Alexandra Road ,#21-00  PSA Building,,,Singapore,SINGAPORE  REPUBLIC OF,119963,false
709,742,Marine Department of Thailand,1278  Yotha Rd.  Talat Noi  ,Samphanthawong,,,Bangkok,THAILAND,10100,false
708,741,Marine Department of Thailand,1278  Yotha Rd.  Talat Noi  ,Samphanthawong ,,,Bangkok,THAILAND,10100,false
707,739,Federal Public Service Mobility and Transport,Directorate General Shipping,City Atrium ,Vooruitgangstraat 56 / Rue du Progres 56,,B-1210 Brussels,BELGIUM,,false
706,738,Finnish Transport Safety Agency Trafi,Marine Environment and Security,PO Box 320,,,FI-00101 Helsinki,FINLAND,,false
705,737,HM Government of Gibraltar,Gibraltar Maritime Administration,2/8 Watergate House ,,,Casemates Square,GIBRALTAR,GX11 1AA,false
704,729,The Maritime Authority of the Cayman Islands,3rd Floor  Government Administration Building,133 Elgin Avenue  PO Box 2256,,,Grand Cayman,CAYMAN ISLANDS,KY1-1107,false
703,726,Direcao-Geral de Recursos Naturiais,Seguranca e Servicos Marítimos,Avenida Brasília,,,1449-030 Lisboa,PORTUGAL,,false
702,725,Direcao-Geral de Recursos Naturiais,Seguranca e Servicos Maritimos,Avenida Brasilla,,,1499-030 Lisboa,PORTUGAL,,false
701,722,Services du Register International,Francais RIF,21 rue de la republique,13002,,MARSEILLE,FRANCE,,false
699,769,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,P.R.China,No.11 Nongzhan Nanli ,,Beijing ,CHINA  PEOPLES REPUBLIC OF,100125,false
699,769,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,P.R.China,No.11 Nongzhan Nanli ,,Beijing ,CHINA  PEOPLES REPUBLIC OF,100125,false
699,769,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,P.R.China,No.11 Nongzhan Nanli ,,Beijing ,CHINA  PEOPLES REPUBLIC OF,100125,false
699,769,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,P.R.China,No.11 Nongzhan Nanli ,,Beijing ,CHINA  PEOPLES REPUBLIC OF,100125,false
699,769,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,P.R.China,No.11 Nongzhan Nanli ,,Beijing ,CHINA  PEOPLES REPUBLIC OF,100125,false
699,769,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,P.R.China,No.11 Nongzhan Nanli ,,Beijing ,CHINA  PEOPLES REPUBLIC OF,100125,false
699,769,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,P.R.China,No.11 Nongzhan Nanli ,,Beijing ,CHINA  PEOPLES REPUBLIC OF,100125,false
699,769,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,P.R.China,No.11 Nongzhan Nanli ,,Beijing ,CHINA  PEOPLES REPUBLIC OF,100125,false
