SQL_TypeId,SQL_TypeCode,SQL_TypeName,SQL_GroupId,SQL_GroupCode
1,BBC,BBC,1,TRADECERT
2,CLC,CLC,1,TRADECERT
3,PLRIn,PLR Incl War,1,TRADECERT
4,PLREx,PLR Excl War,1,TRADECERT
5,NWRC,NWRC,1,TRADECERT
6,ITOPF,ITOPF,1,TRADECERT
7,ITOPFMTA,ITOPFMTA,1,TRADECERT
8,COFRGAIC,COFR - Great American Insurance Company,2,COFR
9,COFRS,COFR - Shoreline,2,COFR
10,COFRSIGCO,COFR - SIGCO,2,COFR
11,COFRSA,COFR - SeaAssurance,2,COFR
12,COEAPRENGLISH,COE-As per Rules English,3,COE
13,COEAPRSPANISH,COE-As per Rules Spanish,3,COE
14,COE500M,COE- USD 500 Million English,3,COE
15,COE500MSPANISH,COE- USD 500 Million Spanish,3,COE
16,COEGRCENGLISH,COE Greek - English,3,COE
17,COEGRC,COE Greek - Greek,3,COE
18,COEITAENGLISH,COE Italian - English,3,COE
19,COEITAITALIAN,COE Italian - Italian,3,COE
20,COEBALAERICENGLISH,COE BalaericIslands - English,3,COE
21,COEBALAERICSPANISH,COE BalaericIslands - Spanish,3,COE
22,COEYACHTESPENGLISH,COE Spanish Yacht - English,3,COE
23,COEYACHTESPSPANISH,COE Spanish Yacht - Spanish,3,COE
24,LETUND,Letter of Undertaking,4,LETUND
25,MLCA252,MLCA252,1,TRADECERT
26,MLCA421,MLCA421,1,TRADECERT
