SQL_SignatoryStateId,SQL_Id,SQL_AddressName,SQL_AddressLine1,SQL_AddressLine2,SQL_AddressLine3,SQL_StateOrCounty,SQL_City,SQL_Country,SQL_PostCode,SQL_PrimaryAddress,SQL_isThePrimaryAddress
739,832,SIERRA LEONE MARITIME ADMINISTRATION,MARITIME HOUSE #6,GOVERNMENT WHARF FERRY TERMINAL,,,FREETOWN,SIERRA LEONE,,false,False
738,830,Ministry of Transport of Saudi Arabia,Manager of the Maritime Transport,Old Airport Street ,,,Riyadh,SAUDI ARABIA,,false,False
735,814,International Ship Registry of Gabon ,Commissioner of Maritime Affairs,Intershipping Services LLC ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,,Ajman,UNITED ARAB EMIRATES,,false,False
734,815,International Ship Registry of Gabon ,Commissioner of Maritime Affairs,Intershipping Services LLC ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,,Ajman,UNITED ARAB EMIRATES,,false,False
733,816,International Ship Registry of Gabon ,Commissioner of Maritime Affairs,Intershipping Services LLC ,Al Sawan 1  Office 601  6th Floor  Taqeef Showroom Building ,,Ajman,UNITED ARAB EMIRATES,,false,False
732,807,Ministry of Transport of Saudi Arabia ,Manager of the Maritime Transport,Old Airport Street ,,,Riyadh,SAUDI ARABIA,,false,False
730,805,Transport Canada ,Attn: Marine Insurance Unit Marine Safety & Security ,AMSE 10th Floor,330 Sparks Street,Ontario,Ottawa,CANADA,K1A 0N8,false,False
729,806,International Shipping Register of Madeira - MAR,Av. Zarco  Edifício do Governo Regional ,1.º  9004-527 Funchal,P.O. Box 494 ,,Madeira,PORTUGAL,,false,False
728,790,Marine Department,1278 Yotha Road,Taladnoi  Samphanthawong,,,Bangkok 10100,THAILAND,,false,False
726,789,Directorate of Ship Registration and Seamen Affairs,Building 702  Road 1510,,,,Block 115  P.O. Box 75315,BAHRAIN  STATE OF,,false,False
725,786,Directorate of Ship Registration and Seamen Affairs,Building 702  Road 1510,,,,Block 115  P.O. Box 75315,BAHRAIN  STATE OF,,false,False
724,785,Registrar of Ships  Merchant Shipping Division,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building ,43-89  York Street ,,Colombo 01.,SRI LANKA,,false,False
723,783,Union Des Comores,National Agency of Maritime Affairs,Building of the Ministry of Transport,,,BP 97 Moroni,COMOROS,,false,False
722,781,International Merchant Marine Registry of Belize, International Merchant Marine Registry of Belize,304 Newtown Barracks ,,,Belize City,BELIZE,,false,False
721,780,Direction Des Affaires Maritimes Et Portuaires,Cocody Deux Plateaux ,Cite Les Perles "Aghien",,,Abidjan  Cote d' Ivoire,IVORY COAST,,false,False
720,782,Direçao-Geral de Recursos Naturiais,Segurança e Serviços Marítimos,Avenida Brasília,,,1449-030 Lisboa,PORTUGAL,,false,False
719,776,Union Des Comores,National Agency of Maritime Affairs,Building of The Ministry of Transport,,,BP 97 Moroni,COMOROS,,false,False
718,777,Union Des Comores,National Agency of Maritime Affairs,Building of The Ministry of Transport,,,BP 97 Moroni,COMOROS,,false,False
717,775,Swedish Transport Agency,Civil Aviation and Maritime Department,,,,SE-601 73 NorrkÖping,SWEDEN,,false,False
