SQL_ApplicationId,SQL_TransactionId,API_TransactionId,SQL_Workflowid,API_Workflowid,SQL_DisplayName,API_DisplayName,SQL_StartDate,API_StartDate,SQL_EndDate,API_EndDate,SQL_AppliedDate,API_AppliedDate,SQL_TransactionStatus,API_TransactionStatus,SQL_TransactionSequence,API_TransactionSequence,SQL_TransactionSubTypeOtherDescription,SQL_TransactionSubTypeOtherDescription,SQL_ReasonForChange,API_ReasonForChange,Status
76184,275132,275132,77286BF5-3C32-43A8-8126-AE32D14627FF,77286bf5-3c32-43a8-8126-ae32d14627ff,QUOTETRANSACTION,QUOTETRANSACTION,2021-03-18 12:00:00 +00:00,2021-03-18T12:00:00+00:00,2022-03-18 12:00:00 +00:00,2022-03-18T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76183,275131,275131,E0C065F4-1DE1-405A-A863-43DFFB0FEA4A,e0c065f4-1de1-405a-a863-43dffb0fea4a,QUOTETRANSACTION,QUOTETRANSACTION,2021-03-18 12:00:00 +00:00,2021-03-18T12:00:00+00:00,2022-03-18 12:00:00 +00:00,2022-03-18T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76182,275130,275130,431C0091-0BB8-4788-96EB-F6C0F57F2D54,431c0091-0bb8-4788-96eb-f6c0f57f2d54,QUOTETRANSACTION,QUOTETRANSACTION,2021-03-16 12:00:00 +00:00,2021-03-16T12:00:00+00:00,2022-03-16 12:00:00 +00:00,2022-03-16T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76179,275107,275107,D9677C4F-D7C0-431F-997C-08F0638CDBA5,d9677c4f-d7c0-431f-997c-08f0638cdba5,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-22 12:00:00 +00:00,2021-02-22T12:00:00+00:00,2030-02-28 12:00:00 +00:00,2030-02-28T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76178,275106,275106,83B2E978-45BB-4A06-8086-45266F5DC704,83b2e978-45bb-4a06-8086-45266f5dc704,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-18 12:00:00 +00:00,2021-02-18T12:00:00+00:00,2022-02-18 12:00:00 +00:00,2022-02-18T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76175,275085,275085,2472496D-9ADB-46E3-A7CF-1545C191726B,2472496d-9adb-46e3-a7cf-1545c191726b,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76173,275079,275079,35A27033-64D5-48D6-954C-95E9950FF43C,35a27033-64d5-48d6-954c-95e9950ff43c,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-05 12:00:00 +00:00,2020-11-05T12:00:00+00:00,2021-04-01 12:00:00 +00:00,2021-04-01T12:00:00+00:00,2021-02-04 14:05:40.5331951 +00:00,2021-02-04T14:05:40.5331951+00:00,Not Taken Up,Not Taken Up,1,1,null,null,null,null,Test Case Passed
76173,275082,275082,A94CD869-7D1B-41D5-83E8-9A38066FAF31,a94cd869-7d1b-41d5-83e8-9a38066faf31,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-08 12:00:00 +00:00,2020-11-08T12:00:00+00:00,2021-04-01 12:00:00 +00:00,2021-04-01T12:00:00+00:00,2021-02-04 14:07:44.2802492 +00:00,2021-02-04T14:07:44.2802492+00:00,Bound,Bound,2,2,null,null,null,null,Test Case Passed
76169,275068,275068,314CD487-F5ED-4DC9-9ED3-078382855306,314cd487-f5ed-4dc9-9ed3-078382855306,QUOTETRANSACTION,QUOTETRANSACTION,2021-03-01 12:00:00 +00:00,2021-03-01T12:00:00+00:00,2022-03-01 12:00:00 +00:00,2022-03-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76167,275063,275063,64CE5D4B-8086-4E52-9E71-9CE775A00EC9,64ce5d4b-8086-4e52-9e71-9ce775a00ec9,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-02-04 09:44:00.5659502 +00:00,2021-02-04T09:44:00.5659502+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
