SQL_BrokerID,API_BrokerID,SQL_BrokerReference,API_BrokerReference,SQL_PartyId,API_PartyId,SQL_PartyCrmIdentifier,API_PartyCrmIdentifier,SQL_IsOrganisation,API_IsOrganisation,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_Name,API_Name,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_AddressId,API_AddressId,SQL_AddressName,API_AddressName,SQL_AddressLine1,API_AddressLine1,SQL_AddressLine2,API_AddressLine2,SQL_AddressLine3,API_AddressLine3,SQL_City,API_City,SQL_State,API_State,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Status
1289,1289,7066,7066,112484,112484,E3F793DD-9E62-EA11-A811-000D3A86AD30,e3f793dd-9e62-ea11-a811-000d3a86ad30,true,true,BEIJING SINO TAO INSURANCE BROKERS CO.  LTD,BEIJING SINO TAO INSURANCE BROKERS CO.  LTD,null,null,null,null,null,null,null,null,BEIJING SINO TAO INSURANCE BROKERS CO.  LTD,BEIJING SINO TAO INSURANCE BROKERS CO.  LTD,BEIJING SINO TAO INSURANCE BROKERS CO.  LTD,BEIJING SINO TAO INSURANCE BROKERS CO.  LTD,CHENGSJ@ZCARE.XYZ,CHENGSJ@ZCARE.XYZ,null,null,null,null,112899,112899,ROOM 722B  7F ,ROOM 722B  7F ,HUAPU INTERNATIONAL BUILDING,HUAPU INTERNATIONAL BUILDING,19 CHAOWAI STREET  CHAOYANG DISTRICT,19 CHAOWAI STREET  CHAOYANG DISTRICT,null,null,BEIJING,BEIJING,null,null,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,null,null,Test case is passed
1288,1288,7065,7065,112392,112392,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,db7fbbff-e75f-ea11-a811-000d3a86a8cf,true,true,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,null,null,AMP Test Broker,AMP Test Broker,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,112807,112807,10 Whitechapel,10 Whitechapel,null,null,null,null,null,null,London,London,null,null,UNITED KINGDOM,UNITED KINGDOM,null,null,Test case is passed
1287,1287,6206,6206,112366,112366,AD222B91-489E-E911-A98F-002248005D88,ad222b91-489e-e911-a98f-002248005d88,true,true,3 Dimensional Insurance Ltd,3 Dimensional Insurance Ltd,null,null,null,null,null,null,null,null,3 Dimensional Insurance Ltd,3 Dimensional Insurance Ltd,3 Dimensional Insurance Ltd,3 Dimensional Insurance Ltd,Haydn.hertz@3diltd.co.uk,Haydn.hertz@3diltd.co.uk,07974083712,07974083712,null,null,112780,112780,Warlies Park House,Warlies Park House,Horseshoe Hill,Horseshoe Hill,null,null,null,null,Waltham Abbey,Waltham Abbey,Essex,Essex,UNITED KINGDOM,UNITED KINGDOM,EN9 3SL,EN9 3SL,Test case is passed
1286,1286,6217,6217,112362,112362,41996B78-41B4-E911-A995-0022480042B3,41996b78-41b4-e911-a995-0022480042b3,true,true,Armstrong’s Insurance Brokers Pty Ltd,Armstrong’s Insurance Brokers Pty Ltd,null,null,null,null,null,null,null,null,Armstrong’s Insurance Brokers Pty Ltd,Armstrong’s Insurance Brokers Pty Ltd,Armstrong’s Insurance Brokers Pty Ltd,Armstrong’s Insurance Brokers Pty Ltd,office@armstrongs.net.au,office@armstrongs.net.au,03 63315455,03 63315455,03 63315488,03 63315488,112776,112776,47 Cameron Street,47 Cameron Street,Launceston,Launceston,null,null,null,null,Tasmania 7250,Tasmania 7250,null,null,AUSTRALIA,AUSTRALIA,null,null,Test case is passed
1285,1285,7064,7064,112011,112011,DCA7FFC6-FC5E-EA11-A811-000D3A86AD30,dca7ffc6-fc5e-ea11-a811-000d3a86ad30,true,true,Guemas International,Guemas International,null,null,null,null,null,null,null,null,Guemas International,Guemas International,Guemas International,Guemas International,null,null,null,null,null,null,112415,112415,60 rue de Londres,60 rue de Londres,null,null,null,null,null,null,Paris,Paris,null,null,FRANCE,FRANCE,75008,75008,Test case is passed
1284,1284,7062,7062,111549,111549,D42719AB-1053-EA11-A813-000D3A86A8CF,d42719ab-1053-ea11-a813-000d3a86a8cf,true,true,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,null,null,null,null,null,null,null,null,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,theiva@asib.com.my,theiva@asib.com.my,+60376290001,+60376290001,+60376290002,+60376290002,111953,111953,3rd Floor  West Wing Quattro West,3rd Floor  West Wing Quattro West,4 Persiaran Barat,4 Persiaran Barat,null,null,null,null,Selangor Darul Ehsan,Selangor Darul Ehsan,null,null,MALAYSIA,MALAYSIA,46100 Petaling Jaya,46100 Petaling Jaya,Test case is passed
1283,1283,7061,7061,111476,111476,9BF84CEE-6052-EA11-A813-000D3A86A8CF,9bf84cee-6052-ea11-a813-000d3a86a8cf,true,true,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,null,null,null,null,null,null,null,null,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,javier.nocetti@aon.com,javier.nocetti@aon.com,541152541615,541152541615,null,null,111880,111880,Aon Benfield Argentina S.A.,Aon Benfield Argentina S.A.,Emma de la Barra 353,Emma de la Barra 353,Piso 4,Piso 4,Puerto Madero,Puerto Madero,Buenos Aires,Buenos Aires,null,null,ARGENTINA,ARGENTINA,C1107CQA,C1107CQA,Test case is passed
1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,true,true,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case is passed
1281,1281,7059,7059,111257,111257,F8D4BB05-334D-EA11-A812-000D3A86A8CF,f8d4bb05-334d-ea11-a812-000d3a86a8cf,true,true,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,null,null,null,null,null,null,null,null,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,tremayne.west@itsinsured.com.au,tremayne.west@itsinsured.com.au,null,null,null,null,111658,111658,NSW 2022,NSW 2022,Level 23,Level 23,520 Oxford Road,520 Oxford Road,null,null,Bondi Junction,Bondi Junction,null,null,AUSTRALIA,AUSTRALIA,null,null,Test case is passed
1280,1280,7058,7058,111209,111209,9AECC559-ED4B-EA11-A812-000D3A86AD30,9aecc559-ed4b-ea11-a812-000d3a86ad30,true,true,ATL Marine & Energy Ltd,ATL Marine & Energy Ltd,null,null,null,null,null,null,null,null,ATL Marine & Energy Ltd,ATL Marine & Energy Ltd,ATL Marine & Energy Ltd,ATL Marine & Energy Ltd,null,null,02035951115,02035951115,null,null,111610,111610,145 Leadenhall Street,145 Leadenhall Street,145 Leadenhall Street,145 Leadenhall Street,null,null,null,null,London,London,null,null,UNITED KINGDOM,UNITED KINGDOM,EC3V 4QT,EC3V 4QT,Test case is passed
