SQL_ApplicationId,SQL_BrokerId,API_BrokerId,SQL_BrokerReference,API_BrokerReference,SQL_PartyId,API_PartyId,SQL_CrmIdentifier,API_CrmIdentifier,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_AddressId,API_AddressId,SQL_AddressName,API_AddressName,SQL_Line1,API_Line1,SQL_Line2,API_Line2,SQL_Line3,API_Line3,SQL_City,API_City,SQL_StateOrProvince,API_StateOrProvince,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Test Case Status
74922,1288,1288,7065,7065,112392,112392,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,db7fbbff-e75f-ea11-a811-000d3a86a8cf,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,null,null,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,112807,112807,10 Whitechapel,10 Whitechapel,null,null,null,null,null,null,London,London,null,null,UNITED KINGDOM,UNITED KINGDOM,null,null,Test case passed
72332,1284,1284,7062,7062,111549,111549,D42719AB-1053-EA11-A813-000D3A86A8CF,d42719ab-1053-ea11-a813-000d3a86a8cf,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,null,null,null,null,null,null,null,null,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,theiva@asib.com.my,theiva@asib.com.my,+60376290001,+60376290001,+60376290002,+60376290002,111953,111953,3rd Floor  West Wing Quattro West,3rd Floor  West Wing Quattro West,4 Persiaran Barat,4 Persiaran Barat,null,null,null,null,Selangor Darul Ehsan,Selangor Darul Ehsan,null,null,MALAYSIA,MALAYSIA,46100 Petaling Jaya,46100 Petaling Jaya,Test case passed
72255,1284,1284,7062,7062,111549,111549,D42719AB-1053-EA11-A813-000D3A86A8CF,d42719ab-1053-ea11-a813-000d3a86a8cf,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,null,null,null,null,null,null,null,null,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,theiva@asib.com.my,theiva@asib.com.my,+60376290001,+60376290001,+60376290002,+60376290002,111953,111953,3rd Floor  West Wing Quattro West,3rd Floor  West Wing Quattro West,4 Persiaran Barat,4 Persiaran Barat,null,null,null,null,Selangor Darul Ehsan,Selangor Darul Ehsan,null,null,MALAYSIA,MALAYSIA,46100 Petaling Jaya,46100 Petaling Jaya,Test case passed
72643,1283,1283,7061,7061,111476,111476,9BF84CEE-6052-EA11-A813-000D3A86A8CF,9bf84cee-6052-ea11-a813-000d3a86a8cf,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,null,null,null,null,null,null,null,null,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,javier.nocetti@aon.com,javier.nocetti@aon.com,541152541615,541152541615,null,null,111880,111880,Aon Benfield Argentina S.A.,Aon Benfield Argentina S.A.,Emma de la Barra 353,Emma de la Barra 353,Piso 4,Piso 4,Puerto Madero,Puerto Madero,Buenos Aires,Buenos Aires,null,null,ARGENTINA,ARGENTINA,C1107CQA,C1107CQA,Test case passed
72636,1283,1283,7061,7061,111476,111476,9BF84CEE-6052-EA11-A813-000D3A86A8CF,9bf84cee-6052-ea11-a813-000d3a86a8cf,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,null,null,null,null,null,null,null,null,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,javier.nocetti@aon.com,javier.nocetti@aon.com,541152541615,541152541615,null,null,111880,111880,Aon Benfield Argentina S.A.,Aon Benfield Argentina S.A.,Emma de la Barra 353,Emma de la Barra 353,Piso 4,Piso 4,Puerto Madero,Puerto Madero,Buenos Aires,Buenos Aires,null,null,ARGENTINA,ARGENTINA,C1107CQA,C1107CQA,Test case passed
49216,1283,1283,7061,7061,111476,111476,9BF84CEE-6052-EA11-A813-000D3A86A8CF,9bf84cee-6052-ea11-a813-000d3a86a8cf,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,null,null,null,null,null,null,null,null,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,javier.nocetti@aon.com,javier.nocetti@aon.com,541152541615,541152541615,null,null,111880,111880,Aon Benfield Argentina S.A.,Aon Benfield Argentina S.A.,Emma de la Barra 353,Emma de la Barra 353,Piso 4,Piso 4,Puerto Madero,Puerto Madero,Buenos Aires,Buenos Aires,null,null,ARGENTINA,ARGENTINA,C1107CQA,C1107CQA,Test case passed
49215,1283,1283,7061,7061,111476,111476,9BF84CEE-6052-EA11-A813-000D3A86A8CF,9bf84cee-6052-ea11-a813-000d3a86a8cf,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,null,null,null,null,null,null,null,null,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,javier.nocetti@aon.com,javier.nocetti@aon.com,541152541615,541152541615,null,null,111880,111880,Aon Benfield Argentina S.A.,Aon Benfield Argentina S.A.,Emma de la Barra 353,Emma de la Barra 353,Piso 4,Piso 4,Puerto Madero,Puerto Madero,Buenos Aires,Buenos Aires,null,null,ARGENTINA,ARGENTINA,C1107CQA,C1107CQA,Test case passed
75333,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
75332,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70745,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
68065,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70744,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
