SQL_Broker_Id,API_Broker_Id,SQL_BrokerReference,API_BrokerReference,SQL_Party_Id,API_Party_Id,SQL_CrmIdentifier,API_CrmIdentifier,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_Address_Id,API_Address_Id,SQL_AddressName,API_AddressName,SQL_Line1,API_Line1,SQL_Line2,API_Line2,SQL_Line3,API_Line3,SQL_City,API_City,SQL_StateOrProvince,API_StateOrProvince,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Test Case Status
1289,1289,7066,7066,112484,112484,E3F793DD-9E62-EA11-A811-000D3A86AD30,e3f793dd-9e62-ea11-a811-000d3a86ad30,BEIJING SINO TAO INSURANCE BROKERS CO. LTD,BEIJING SINO TAO INSURANCE BROKERS CO. LTD,null,null,null,null,null,null,null,null,BEIJING SINO TAO INSURANCE BROKERS CO. LTD,BEIJING SINO TAO INSURANCE BROKERS CO. LTD,CHENGSJ@ZCARE.XYZ,CHENGSJ@ZCARE.XYZ,null,null,null,null,112899,112899,ROOM 722B 7F,ROOM 722B 7F,HUAPU INTERNATIONAL BUILDING,HUAPU INTERNATIONAL BUILDING,19 CHAOWAI STREET CHAOYANG DISTRICT,19 CHAOWAI STREET CHAOYANG DISTRICT,null,null,BEIJING,BEIJING,null,null,CHINA PEOPLES REPUBLIC OF,CHINA PEOPLES REPUBLIC OF,null,null,Test Case Passed
1288,1288,7065,7065,112392,112392,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,db7fbbff-e75f-ea11-a811-000d3a86a8cf,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,null,null,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,112807,112807,10 Whitechapel,10 Whitechapel,null,null,null,null,null,null,London,London,null,null,UNITED KINGDOM,UNITED KINGDOM,null,null,Test Case Passed
1285,1285,7064,7064,112011,112011,DCA7FFC6-FC5E-EA11-A811-000D3A86AD30,dca7ffc6-fc5e-ea11-a811-000d3a86ad30,Guemas International,Guemas International,null,null,null,null,null,null,null,null,Guemas International,Guemas International,null,null,null,null,null,null,112415,112415,60 rue de Londres,60 rue de Londres,null,null,null,null,null,null,Paris,Paris,null,null,FRANCE,FRANCE,75008,75008,Test Case Passed
1284,1284,7062,7062,111549,111549,D42719AB-1053-EA11-A813-000D3A86A8CF,d42719ab-1053-ea11-a813-000d3a86a8cf,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,null,null,null,null,null,null,null,null,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,theiva@asib.com.my,theiva@asib.com.my,+60376290001,+60376290001,+60376290002,+60376290002,111953,111953,3rd Floor West Wing Quattro West,3rd Floor West Wing Quattro West,4 Persiaran Barat,4 Persiaran Barat,null,null,null,null,Selangor Darul Ehsan,Selangor Darul Ehsan,null,null,MALAYSIA,MALAYSIA,46100 Petaling Jaya,46100 Petaling Jaya,Test Case Passed
1283,1283,7061,7061,111476,111476,9BF84CEE-6052-EA11-A813-000D3A86A8CF,9bf84cee-6052-ea11-a813-000d3a86a8cf,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,null,null,null,null,null,null,null,null,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,javier.nocetti@aon.com,javier.nocetti@aon.com,541152541615,541152541615,null,null,111880,111880,Aon Benfield Argentina S.A.,Aon Benfield Argentina S.A.,Emma de la Barra 353,Emma de la Barra 353,Piso 4,Piso 4,Puerto Madero,Puerto Madero,Buenos Aires,Buenos Aires,null,null,ARGENTINA,ARGENTINA,C1107CQA,C1107CQA,Test Case Passed
1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE REPUBLIC OF,SINGAPORE REPUBLIC OF,null,null,Test Case Passed
1281,1281,7059,7059,111257,111257,F8D4BB05-334D-EA11-A812-000D3A86A8CF,f8d4bb05-334d-ea11-a812-000d3a86a8cf,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,null,null,null,null,null,null,null,null,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,tremayne.west@itsinsured.com.au,tremayne.west@itsinsured.com.au,null,null,null,null,111658,111658,NSW 2022,NSW 2022,Level 23,Level 23,520 Oxford Road,520 Oxford Road,null,null,Bondi Junction,Bondi Junction,null,null,AUSTRALIA,AUSTRALIA,null,null,Test Case Passed
1280,1280,7058,7058,111209,111209,9AECC559-ED4B-EA11-A812-000D3A86AD30,9aecc559-ed4b-ea11-a812-000d3a86ad30,ATL Marine & Energy Ltd,ATL Marine & Energy Ltd,null,null,null,null,null,null,null,null,ATL Marine & Energy Ltd,ATL Marine & Energy Ltd,null,null,02035951115,02035951115,null,null,111610,111610,145 Leadenhall Street,145 Leadenhall Street,145 Leadenhall Street,145 Leadenhall Street,null,null,null,null,London,London,null,null,UNITED KINGDOM,UNITED KINGDOM,EC3V 4QT,EC3V 4QT,Test Case Passed
1279,1279,7056,7056,111072,111072,0B1BF06B-8949-EA11-A812-000D3A86AD30,0b1bf06b-8949-ea11-a812-000d3a86ad30,Prudent Insurance Brokers Pvt. Ltd,Prudent Insurance Brokers Pvt. Ltd,null,null,null,null,null,null,null,null,Prudent Insurance Brokers Pvt. Ltd,Prudent Insurance Brokers Pvt. Ltd,bansi.suvarna@prudentbrokers.com,bansi.suvarna@prudentbrokers.com,+91 22 33066000,+91 22 33066000,null,null,111473,111473,Prudent Insurance Brokers Pvt. Ltd,Prudent Insurance Brokers Pvt. Ltd,101 Tower B Peninsula Business Park,101 Tower B Peninsula Business Park,Ganpatrao Kadam Marg,Ganpatrao Kadam Marg,Lower Parel,Lower Parel,W Mumbai,W Mumbai,null,null,INDIA,INDIA,400013,400013,Test Case Passed
1278,1278,7055,7055,111057,111057,0C5272BB-FE48-EA11-A812-000D3A86AD30,0c5272bb-fe48-ea11-a812-000d3a86ad30,Gulf Ocean Insurance & Reinsurance Brokers DIFC Limited,Gulf Ocean Insurance & Reinsurance Brokers DIFC Limited,null,null,null,null,null,null,null,null,Gulf Ocean Insurance & Reinsurance Brokers DIFC Limited,Gulf Ocean Insurance & Reinsurance Brokers DIFC Limited,vijay@gulfoceanre.com,vijay@gulfoceanre.com,+971 (04) 587 6452,+971 (04) 587 6452,+971 (04) 431 5831,+971 (04) 431 5831,111458,111458,Gulf Ocean Insurance & Reinsurance Brokers (DIFC) Limited,Gulf Ocean Insurance & Reinsurance Brokers (DIFC) Limited,Office #516 Liberty House,Office #516 Liberty House,Dubai International Financial Centre,Dubai International Financial Centre,null,null,Dubai,Dubai,null,null,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,null,null,Test Case Passed
