SQL_CountryId,API_CountryId,SQL_CountryShortCode,API_CountryShortCode,SQL_CountryName,API_CountryName,SQL_CountryDescription,API_CountryDescription,SQL_CountryIptTaxMap,API_CountryIptTaxMap,Status
1,1,AFG,AFGAFGHANISTAN,AFGHANISTAN,AFGHANISTAN,AFGHANISTANTAX99,TAX99,Test case passed
2,2,ALD,ALDALAND ISLANDS,ALAND ISLANDS,ALAND ISLANDS,ALAND ISLANDSTAX99,TAX99,Test case passed
3,3,ALB,ALBALBANIA,ALBANIA,ALBANIA,ALBANIATAX99,TAX99,Test case passed
4,4,DZA,DZAALGERIA,ALGERIA,ALGERIA,ALGERIATAX99,TAX99,Test case passed
5,5,UMI,UMIAMERICAN PACIFIC TERRITORIES,AMERICAN PACIFIC TERRITORIES,AMERICAN PACIFIC TERRITORIES,AMERICAN PACIFIC TERRITORIESTAX99,TAX99,Test case passed
6,6,ASM,ASMAMERICAN SAMOA,AMERICAN SAMOA,AMERICAN SAMOA,AMERICAN SAMOATAX99,TAX99,Test case passed
7,7,VIR,VIRAMERICAN VIRGIN ISLANDS,AMERICAN VIRGIN ISLANDS,AMERICAN VIRGIN ISLANDS,AMERICAN VIRGIN ISLANDSTAX99,TAX99,Test case passed
8,8,AND,ANDANDORRA,ANDORRA,ANDORRA,ANDORRATAX99,TAX99,Test case passed
9,9,AGO,AGOANGOLA,ANGOLA,ANGOLA,ANGOLATAX99,TAX99,Test case passed
10,10,AIA,AIAANGUILLA,ANGUILLA,ANGUILLA,ANGUILLATAX99,TAX99,Test case passed
11,11,ATA,ATAANTARCTICA,ANTARCTICA,ANTARCTICA,ANTARCTICATAX99,TAX99,Test case passed
12,12,ATG,ATGANTIGUA & BARBUDA,ANTIGUA & BARBUDA,ANTIGUA & BARBUDA,ANTIGUA & BARBUDATAX99,TAX99,Test case passed
13,13,ARG,ARGARGENTINA,ARGENTINA,ARGENTINA,ARGENTINATAX99,TAX99,Test case passed
14,14,ABW,ABWARUBA,ARUBA,ARUBA,ARUBATAX99,TAX99,Test case passed
