SQL_DocumentId,API_DocumentId,SQL_DocumentStatusName,API_DocumentStatusName,Status
1,1,Creating,Creating,Test case passed
2,2,Superseded,Superseded,Test case passed
3,3,Terminated,Terminated,Test case passed
4,4,Bound,Bound,Test case passed
5,5,Issued,Issued,Test case passed
6,6,MtaInProgress,MtaInProgress,Test case passed
7,7,Void,Void,Test case passed
8,8,Voided,Voided,Test case passed
9,9,Error,Error,Test case passed
10,10,Pending,Pending,Test case passed
11,11,Expired,Expired,Test case passed
12,12,Cancelled,Cancelled,Test case passed
13,13,Closed,Closed,Test case passed
