API_BrokerID,API_BrokerReference,API_PartyId,API_PartyCrmIdentifier,API_IsOrganisation,API_OrganisationName,API_Salutation,API_FirstName,API_MiddleName,API_LastName,API_Name,API_SearchName,API_EmailAddress,API_Telephone,API_Fax,API_AddressId,API_AddressName,API_AddressLine1,API_AddressLine2,API_AddressLine3,API_City,API_State,API_Country,API_Postcode,API_IsPrimaryAddress
1289,7066,112484,e3f793dd-9e62-ea11-a811-000d3a86ad30,true,BEIJING SINO TAO INSURANCE BROKERS CO.  LTD,null,null,null,null,BEIJING SINO TAO INSURANCE BROKERS CO.  LTD,BEIJING SINO TAO INSURANCE BROKERS CO.  LTD,CHENGSJ@ZCARE.XYZ,null,null,112899,ROOM 722B  7F ,HUAPU INTERNATIONAL BUILDING,19 CHAOWAI STREET  CHAOYANG DISTRICT,null,BEIJING,null,CHINA  PEOPLES REPUBLIC OF,null
1288,7065,112392,db7fbbff-e75f-ea11-a811-000d3a86a8cf,true,AMP Test Broker,null,null,null,null,AMP Test Broker,AMP Test Broker,null,null,null,112807,10 Whitechapel,null,null,null,London,null,UNITED KINGDOM,null
1287,6206,112366,ad222b91-489e-e911-a98f-002248005d88,true,3 Dimensional Insurance Ltd,null,null,null,null,3 Dimensional Insurance Ltd,3 Dimensional Insurance Ltd,Haydn.hertz@3diltd.co.uk,07974083712,null,112780,Warlies Park House,Horseshoe Hill,null,null,Waltham Abbey,Essex,UNITED KINGDOM,EN9 3SL
1286,6217,112362,41996b78-41b4-e911-a995-0022480042b3,true,Armstrong’s Insurance Brokers Pty Ltd,null,null,null,null,Armstrong’s Insurance Brokers Pty Ltd,Armstrong’s Insurance Brokers Pty Ltd,office@armstrongs.net.au,03 63315455,03 63315488,112776,47 Cameron Street,Launceston,null,null,Tasmania 7250,null,AUSTRALIA,null
1285,7064,112011,dca7ffc6-fc5e-ea11-a811-000d3a86ad30,true,Guemas International,null,null,null,null,Guemas International,Guemas International,null,null,null,112415,60 rue de Londres,null,null,null,Paris,null,FRANCE,75008
1284,7062,111549,d42719ab-1053-ea11-a813-000d3a86a8cf,true,Antah Insurance Brokers Sdn Bhd,null,null,null,null,Antah Insurance Brokers Sdn Bhd,Antah Insurance Brokers Sdn Bhd,theiva@asib.com.my,+60376290001,+60376290002,111953,3rd Floor  West Wing Quattro West,4 Persiaran Barat,null,null,Selangor Darul Ehsan,null,MALAYSIA,46100 Petaling Jaya
1283,7061,111476,9bf84cee-6052-ea11-a813-000d3a86a8cf,true,AON BENFIELD ARGENTINA S.A.,null,null,null,null,AON BENFIELD ARGENTINA S.A.,AON BENFIELD ARGENTINA S.A.,javier.nocetti@aon.com,541152541615,null,111880,Aon Benfield Argentina S.A.,Emma de la Barra 353,Piso 4,Puerto Madero,Buenos Aires,null,ARGENTINA,C1107CQA
1282,7060,111350,a7ca4277-d54e-ea11-a812-000d3a86a8cf,true,Keppel SMIT Towage Pte Ltd,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,66684304,null,111751,23 Gul Road,null,null,null,Singapore 629356,null,SINGAPORE  REPUBLIC OF,null
1281,7059,111257,f8d4bb05-334d-ea11-a812-000d3a86a8cf,true,Westblake Pty Ltd t/as it's insured,null,null,null,null,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,tremayne.west@itsinsured.com.au,null,null,111658,NSW 2022,Level 23,520 Oxford Road,null,Bondi Junction,null,AUSTRALIA,null
1280,7058,111209,9aecc559-ed4b-ea11-a812-000d3a86ad30,true,ATL Marine & Energy Ltd,null,null,null,null,ATL Marine & Energy Ltd,ATL Marine & Energy Ltd,null,02035951115,null,111610,145 Leadenhall Street,145 Leadenhall Street,null,null,London,null,UNITED KINGDOM,EC3V 4QT
1279,7056,111072,0b1bf06b-8949-ea11-a812-000d3a86ad30,true,Prudent Insurance Brokers Pvt. Ltd,null,null,null,null,Prudent Insurance Brokers Pvt. Ltd,Prudent Insurance Brokers Pvt. Ltd,bansi.suvarna@prudentbrokers.com,+91 22 33066000,null,111473,Prudent Insurance Brokers Pvt. Ltd,101  Tower B  Peninsula Business Park,Ganpatrao Kadam Marg,Lower Parel,W  Mumbai,null,INDIA,400013
1278,7055,111057,0c5272bb-fe48-ea11-a812-000d3a86ad30,true,Gulf Ocean Insurance & Reinsurance Brokers DIFC Limited,null,null,null,null,Gulf Ocean Insurance & Reinsurance Brokers DIFC Limited,Gulf Ocean Insurance & Reinsurance Brokers DIFC Limited,vijay@gulfoceanre.com,+971 (04) 587 6452,+971 (04) 431 5831,111458,Gulf Ocean Insurance & Reinsurance Brokers (DIFC) Limited,Office #516  Liberty House,Dubai International Financial Centre,null,Dubai,null,UNITED ARAB EMIRATES,null
1277,7054,110696,db06eb98-9246-ea11-a812-000d3a86a8cf,true,Regent Marine Assekuranzmakler GmbH,null,null,null,null,Regent Marine Assekuranzmakler GmbH,Regent Marine Assekuranzmakler GmbH,Monika.Brockmann@regent-marine.de,+4942152571112,null,111097,Flughafenallee 28,null,null,null,Bremen,null,GERMANY,28199
1276,7053,110559,07f54d73-4f43-ea11-a812-000d3a86a8cf,true,La Positiva Seguros y Reaseguros,null,null,null,null,La Positiva Seguros y Reaseguros,La Positiva Seguros y Reaseguros,null,+5112110000,null,110960,Francisco Masias No 370  San Isidro ,null,null,null,Lima 27,null,PERU,null
1275,7050,110161,36cc4163-3238-ea11-a813-000d3a86a8cf,true,Paul Donnelly Insurance Brokers Pty Ltd,null,null,null,null,Paul Donnelly Insurance Brokers Pty Ltd,Paul Donnelly Insurance Brokers Pty Ltd,null,+61294827422,+61294827462,110561,PO Box 97,Berowra,null,null,NSW 2081,null,AUSTRALIA,null
1274,7051,110159,d3664aa3-0c39-ea11-a813-000d3a86ad30,true,RAMON INTERNATIONAL INSURANCE BROKERS LIMITED,null,null,null,null,RAMON INTERNATIONAL INSURANCE BROKERS LIMITED,RAMON INTERNATIONAL INSURANCE BROKERS LIMITED,general@ramon.co.uk,02073695300,02073695301,110559,24 Creechurch Lane,24 CREECHURCH LANE,null,null,LONDON,null,UNITED KINGDOM,EC3A 5EH
1273,7049,110022,3dfa8e46-af32-ea11-a813-000d3a86ad30,true,Aster Underwriting Pty Ltd,null,null,null,null,Aster Underwriting Pty Ltd,Aster Underwriting Pty Ltd,null,null,null,110421,Level 4,Cnr Clifford & Appel Streets,Surfers Paradise,null,QLD,null,AUSTRALIA,4217
1272,7047,110019,b4c526c5-1132-ea11-a810-000d3a86ad30,true,Orloff Yachting Limited,null,null,null,null,Orloff Yachting Limited,Orloff Yachting Limited,gkh@andriaki.gr,0030-210-6152441,null,110418,9  FRAGOKLISSIAS STR,151 25 MAROUSSI,ATTICA,null,ATHENS,null,GREECE,null
1271,7046,109873,298bb817-0f32-ea11-a810-000d3a86ad30,false,Doris Nepa,null,Doris,null,Nepa, Doris Nepa,Doris Nepa,gkh@andriaki.gr,00302106152441,null,110270,9  FRAGOKLISSIAS STR,151 25 MAROUSSI,ATTICA,null,ATHENS,GREECE,GREECE,null
1270,7048,109870,642de597-2032-ea11-a810-000d3a86ad30,true,Ocean Cruising Corporation SA,null,null,null,null,Ocean Cruising Corporation SA,Ocean Cruising Corporation SA,gkh@andriaki.gr,0030-210-6152441,null,110267,9  FRAGOKLISSIAS STR.,151 25 MAROUSSI,ATTICA,null,ATHENS,null,GREECE,null
1269,7045,109720,84063cf2-642d-ea11-a810-000d3a86ad30,true,Sarl Valantin Berger,null,null,null,null,Sarl Valantin Berger,Sarl Valantin Berger,null,null,null,110116,4  rue Etienne Dolet,null,null,null,Tarare,null,FRANCE,69170
1268,7044,109494,af1c5f4e-7c21-ea11-a810-000d3a86a8cf,true,Fairfirst Insurance Limited,null,null,null,null,Fairfirst Insurance Limited,Fairfirst Insurance Limited,null,null,null,109890,Fairfirst Insurance Limited,Access Towers II (14th Floor) ,278/4 ,Union Place ,Colombo 02,null,SRI LANKA,null
1267,7043,109402,6efa2610-d81c-ea11-a811-000d3a86ad30,false,MICHAEL KENT,null,MICHAEL,null,KENT, MICHAEL KENT,MICHAEL KENT,michaelkent@egginternationl.com,0037797975206,null,109798,AO52 LE MEMMO CENTER,null,4 AVENUE DES GUELFES,null,MONACO,null,MONACO,MC9800
1266,7042,109082,8b663006-8016-ea11-a811-000d3a86a8cf,true,Triple "A" Marine Risks Ltd,null,null,null,null,Triple "A" Marine Risks Ltd,Triple "A" Marine Risks Ltd,null,null,null,109477,4 Kifissias Avenue,151 25 Maroussi,null,null,Athens,null,GREECE,null
1265,7040,109055,2bcc322c-7215-ea11-a811-000d3a86a8cf,true,Insurance Aid General Brokers Partnership Pty Ltd,null,null,null,null,Insurance Aid General Brokers Partnership Pty Ltd,Insurance Aid General Brokers Partnership Pty Ltd,andrewh@insuranceaid.com.au,0736301823,null,109450,9/35 Paringa Road,null,null,null,Murarrie Q,null,AUSTRALIA,4172
1264,7041,109045,82dc8fd4-df15-ea11-a811-000d3a86ad30,false,Ilya Sonyushkin,Mr.,Ilya,null,Sonyushkin,Mr. Ilya Sonyushkin,Ilya Sonyushkin,isonyushkin@gmail.com,+79166534310,null,109440,Kutuzovskiy Avenue 26-495,null,null,null,Moscow,null,RUSSIAN FEDERATION,121165
1263,7039,108940,0bc45595-440d-ea11-a811-000d3a86a8cf,true,Henderson International B.V.,null,null,null,null,Henderson International B.V.,Henderson International B.V.,null,null,null,109335,Welfare Road #129,Laguna View,Suite 2A,null,Cole Bay,null,SINT MAARTEN,null
1262,7038,108769,d18c851e-b30b-ea11-a811-000d3a86aa92,true,APEX International Insurance Mediations LLC,null,null,null,null,APEX International Insurance Mediations LLC,APEX International Insurance Mediations LLC,null,null,null,109164,ABDULLA BIN DARWISH BLDG.  SHK. ZAYED ST.  PO BOX 35764  ABU DHABI - UAE,null,null,null,Abu Dhabi,null,UNITED ARAB EMIRATES,null
