SQL_ApplicationId,SQL_TransactionId,SQL_Workflowid,SQL_DisplayName,SQL_StartDate,SQL_EndDate,SQL_AppliedDate,SQL_TransactionStatus,SQL_TransactionSequence,SQL_TransactionSubTypeOtherDescription,SQL_ReasonForChange
76184,275132,77286BF5-3C32-43A8-8126-AE32D14627FF,QUOTETRANSACTION,2021-03-18 12:00:00 +00:00,2022-03-18 12:00:00 +00:00,null,In Progress,1,null,null
76183,275131,E0C065F4-1DE1-405A-A863-43DFFB0FEA4A,QUOTETRANSACTION,2021-03-18 12:00:00 +00:00,2022-03-18 12:00:00 +00:00,null,In Progress,1,null,null
76182,275130,431C0091-0BB8-4788-96EB-F6C0F57F2D54,QUOTETRANSACTION,2021-03-16 12:00:00 +00:00,2022-03-16 12:00:00 +00:00,null,In Progress,1,null,null
76180,275118,B04324BE-591D-4FA2-88C5-C029DE9A6FE6,RENEWALQUOTETRANSACTION,2021-02-20 12:00:00 +00:00,2022-02-20 12:00:00 +00:00,2021-03-08 18:51:47.8867863 +00:00,Bound,1,null,null
76179,275107,D9677C4F-D7C0-431F-997C-08F0638CDBA5,QUOTETRANSACTION,2021-02-22 12:00:00 +00:00,2030-02-28 12:00:00 +00:00,null,In Progress,1,null,null
76178,275106,83B2E978-45BB-4A06-8086-45266F5DC704,QUOTETRANSACTION,2021-02-18 12:00:00 +00:00,2022-02-18 12:00:00 +00:00,null,In Progress,1,null,null
76176,275087,8EF75355-CC15-412B-8833-78A760EEB197,RENEWALQUOTETRANSACTION,2021-04-01 12:00:00 +00:00,2022-04-01 12:00:00 +00:00,2021-02-04 14:21:39.4739417 +00:00,Bound,1,null,null
76175,275085,2472496D-9ADB-46E3-A7CF-1545C191726B,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,null,In Progress,1,null,null
76173,275079,35A27033-64D5-48D6-954C-95E9950FF43C,QUOTETRANSACTION,2020-11-05 12:00:00 +00:00,2021-04-01 12:00:00 +00:00,2021-02-04 14:05:40.5331951 +00:00,Not Taken Up,1,null,null
76173,275082,A94CD869-7D1B-41D5-83E8-9A38066FAF31,QUOTETRANSACTION,2020-11-08 12:00:00 +00:00,2021-04-01 12:00:00 +00:00,2021-02-04 14:07:44.2802492 +00:00,Bound,2,null,null
76170,275070,7791E9DF-3F57-4750-9D98-5988ADCBB550,RENEWALQUOTETRANSACTION,2022-02-01 12:00:00 +00:00,2023-02-01 12:00:00 +00:00,2021-02-04 13:13:48.1056108 +00:00,Bound,1,null,null
76169,275068,314CD487-F5ED-4DC9-9ED3-078382855306,QUOTETRANSACTION,2021-03-01 12:00:00 +00:00,2022-03-01 12:00:00 +00:00,null,In Progress,1,null,null
76167,275063,64CE5D4B-8086-4E52-9E71-9CE775A00EC9,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,2021-02-04 09:44:00.5659502 +00:00,Bound,1,null,null
76165,275055,C1E00C6D-14D7-42E3-BCDB-AE8C2FDCCF92,RENEWALQUOTETRANSACTION,2021-12-01 12:00:00 +00:00,2022-12-01 12:00:00 +00:00,2021-02-03 16:47:32.9940473 +00:00,Bound,1,null,null
76164,275053,0D280DB2-85B1-44B9-B812-CA1E1137262B,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,null,In Progress,1,null,null
76162,275048,A61FB437-26F0-4F0F-84A4-96A148F45C5F,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,2021-02-03 16:31:26.0735325 +00:00,Bound,1,null,null
76156,275019,D32A82FF-8BE1-4735-B311-61E8C759F0A3,RENEWALQUOTETRANSACTION,2021-01-19 12:00:00 +00:00,2022-01-19 12:00:00 +00:00,2021-01-19 15:28:04.3181071 +00:00,Bound,1,null,null
76154,275008,F7FC8625-5624-4388-BA5D-DE5FBBD9A079,QUOTETRANSACTION,2020-10-21 12:00:00 +00:00,2021-01-19 12:00:00 +00:00,2021-01-19 15:13:30.282484 +00:00,Bound,1,null,null
76151,275000,E177625C-E1DC-4CCB-9EBD-30DE211A90E1,RENEWALQUOTETRANSACTION,2021-12-01 12:00:00 +00:00,2022-12-01 12:00:00 +00:00,null,In Progress,1,null,null
76149,274986,FB28CFBD-3C75-4F61-9292-5EC356CE9EA7,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,2021-01-27 12:25:56.7286515 +00:00,Bound,1,null,null
